key;fi;nn;sv;sma;sme;smj;smn;sms
TermsGeneralBody;"

Tähän elementtiin laitetut rivinvaihdot näkyvät lopputuloksessa.

Tämä on käyttöehtosivun kolmas kappale.";"

Linjeskift lagt til dette elementet blir vist i sluttresultatet.

Dette er tredje avsnitt av brukarvilkårssida.";Radbrytningar som läggs till i detta element visas i slutresultatet. Detta är tredje stycket på sidan för användarvillkor.;;;;;
TermsGeneralLink;Lisätietoja kampanjasta;Meir informasjon om kampanjen;Mer information om kampanjen;;;;;
TermsGeneralUrl;https://example.com;https://example.com;;;;;;
TermsOwnershipTitle;Kuka?;Kven?;Vem?;;;;;
TermsOwnershipBody1;;;;;;;;
TermsOwnershipLink;Tietosuoja;Personvern;Integritetsskydd;;;;;
TermsOwnershipLinkUrl;https://example.com/tietosuoja;https://example.com/tietosuoja;;;;;;
TermsOwnershipBody2;-sivulla esitettyjä periaatteita noudattaen.;i samsvar med prinsippa presentert på sida.;i enlighet med principerna som presenteras på sidan.;;;;;
TermsVoluntaryTitle;Täysin vapaaehtoista!;Heilt frivillig!;Helt frivilligt!;;;;;
TermsVoluntaryBody;Puheen lahjoittaminen ja henkilötietojen ilmoittaminen on täysin vapaaehtoista.;Å donera tale og gje personopplysningar er heilt frivillig.;Att donera tal och lämna personuppgifter är helt frivilligt.;;;;;
TermsPrivacyTitle;Miten henkilötietoja käsitellään?;Korleis blir personopplysningane behandla?;Hur behandlas personuppgifterna?;;;;;
TermsPrivacyBody;;;;;;;;
TermsPrivacyLink;Lisätietoa henkilötietojen käsittelystä;Meir informasjon om behandling av personopplysningar;Mer information om behandling av personuppgifter;;;;;
TermsPrivacyUrl;https://example.com/tietosuoja;https://example.com/tietosuoja;;;;;;
TermsRightsTitle;Oikeudet puheeseen;Rettar knytt til talen;Rättigheter kopplade till talet;;;;;
TermsRightsBody;;;;;;;;
TermsAppropriateUseTitle;Sovelluksen käyttäminen;Bruk av applikasjonen;Användning av applikationen;;;;;
TermsAppropriateUseBody;Tämä sovellus ei ole tarkoitettu yhteiskäyttöön. Kaikkien lahjoittajien tulee käyttää lahjoittaessaan omaa laitettaan.;Denne applikasjonen er ikkje meint for delt bruk. Alle donatorar må bruke si eiga eining når dei donerer.;Denna applikation är inte avsedd för delad användning. Alla donatorer måste använda sin egen enhet när de donerar.;;;;;
TermsAdditionalTitle;Lisätietoa;Meir informasjon;Mer information;;;;;
TermsAdditionalWebsite;Kampanjan sivusto:;Kampanjen si nettside:;Kampanjens webbplats:;;;;;
TermsAdditionalWebsiteLink;example.com;example.com;;;;;;
TermsAdditionalWebsiteUrl;https://example.com;https://example.com;;;;;;
TermsAdditionalContact;Helsingin yliopisto, Kielipankki;Universitetet i Helsinki, Språkbanken;Helsingfors universitet, Språkbanken;;;;;
TermsAdditionalLink;www.kielipankki.fi;www.kielipankki.fi;;;;;;
TermsAdditionalUrl;https://www.kielipankki.fi;https://www.kielipankki.fi;;;;;;
TermsAdditionalEmail;hankkeen-nimi@kielipankki.fi;hankkeen-nimi@kielipankki.fi;;;;;;
TermsAcceptBody;Painamalla alla olevaa Hyväksyn-nappia hyväksyn edellä olevat puheen lahjoittamisen ehdot. Jos olen alle 18-vuotias, huoltajani hyväksyy ehdot puolestani.;Ved å trykke på Eg godtar-knappen nedanfor godtar eg vilkåra ovanfor for taledonasjon. Om eg er under 18 år, godtar verja mi vilkåra på mine vegne.;"Genom att trycka på knappen ""Jag godkänner"" nedan godkänner jag villkoren ovan för taldonation. Om jag är under 18 år godkänner min vårdnadshavare villkoren för min räkning.";;;;;
TermsAccept;Hyväksyn;Eg godtar;Jag godkänner;;;;;
RecordingStoppedLimitTitle;Äänitys keskeytetty;Opptak avbrote;Inspelning avbruten;;;;;
RecordingStoppedLimitMessage;Äänityksen enimmäisaika tuli täyteen ja äänitys keskeytettiin automaattisesti. Kiitos lahjoituksesta!;Maksimal opptakstid vart nådd og opptaket vart automatisk stoppa. Takk for donasjonen!;Maximal inspelningstid har uppnåtts och inspelningen stoppades automatiskt. Tack för donationen!;;;;;
RecordingApproachingLimitMessage;Äänityksen enimmäisaika lähestyy. Sinulla on noin yksi minuutti aikaa jäljellä.;Maksimal opptakstid nærmar seg. Du har omtrent eitt minutt igjen.;Maximal inspelningstid närmar sig. Du har ungefär en minut kvar.;;;;;
ChooseLanguageTitle;Valitse kieli;Vel språk;Välj språk;;;;;
LanguageFinnish;Suomi;Finsk;Finska;;;;;
LanguageNorwegian;Norja (bokmål);Norsk (bokmål);Norska (bokmål);;;;;
LanguageNorthSami;Pohjoissaame;Nordsamisk;Nordsamiska;;;;;
LanguageLuleSami;Luulajansaame;Lulesamisk;Lulesamiska;;;;;
LanguageSouthSami;Eteläsaame;Sørsamisk;Sydsamiska;;;;;
LanguageInariSami;Inarinsaame;Enaresamisk;Enaresamiska;;;;;
LanguageSkoltSami;Koltansaame;Skoltesamisk;Skoltsamiska;;;;;
LanguageSwedish;Ruotsi;Svensk;Svenska;;;;;
LanguageNynorsk;Norja (nynorsk);Norsk (nynorsk);Norska (nynorsk);;;;;
